"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"83","f0:f2:49:d7:ed:19","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"84","00:26:5b:84:eb:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"85","ee:9f:db:83:98:3f","qua","CMP Privado","0","19-07-2017 at 17:18:19","37.1349","-8.53532"
"86","64:66:b3:de:a8:9c","qua","TP-LINK_DEA89C","0","19-07-2017 at 17:18:19","37.1349","-8.53532"
"87","de:9f:db:83:98:3f","qua","CMP Publico","0","19-07-2017 at 17:21:22","37.1355","-8.53715"
"88","f0:f2:49:4d:7f:78","qua","NOS-7F70","0","19-07-2017 at 09:40:19","37.137","-8.53845"
"89","00:1f:9f:3e:e2:0b","qua","ThomsonE31AA2","0","19-07-2017 at 16:36:45","37.1361","-8.5386"
"90","00:15:6d:fc:d5:97","qua","Portimonense","0","19-07-2017 at 17:03:29","37.1351","-8.53795"
"91","36:69:87:8c:9c:14","qua","MEO-8C9C14","0","19-07-2017 at 13:01:14","37.1365","-8.53823"
"92","8e:79:67:df:56:08","qua","VodafoneMobileWiFi-DF5608","0","19-07-2017 at 09:45:07","37.137","-8.53845"
"93","00:15:6d:b0:aa:41","qua","Portimonense","0","19-07-2017 at 16:36:19","37.1362","-8.53998"
"94","00:26:5b:1b:24:68","qua","ZON-2460","0","19-07-2017 at 10:03:10","37.1369","-8.53854"
"95","e0:b9:e5:68:8f:af","qua","MEO-688FAF","0","19-07-2017 at 17:08:36","37.1351","-8.53795"
"96","84:94:8c:a4:8c:99","qua","NOS_WIFI_Fon","0","19-07-2017 at 16:03:12","37.136","-8.53946"
"97","14:cc:20:a6:f9:fa","qua","TP-LINK_A6F9FA","0","19-07-2017 at 10:26:44","37.1407","-8.52801"
"98","d0:5b:a8:31:95:14","qua","VodafoneMobileWiFi-319514","0","19-07-2017 at 10:29:59","37.1368","-8.53862"
"99","b8:08:d7:9b:d8:c0","qua","VodafoneMobileWiFi-D8C043","0","19-07-2017 at 10:30:24","37.1368","-8.53862"
"100","a4:b1:e9:9f:9f:7c","qua","Lena Mota","0","19-07-2017 at 14:29:19","37.1358","-8.53849"
